isco08_code,occupation_title,task_score,task_exposure,task_description
4415,Filing and copying clerks,0.6,Medium,Keeping records of materials filed and removed;
4415,Filing and copying clerks,0.17,Very Low,"Photocopying, scanning or faxing documents."
4416,Personnel clerks,0.635,Medium,"Updating information on, employment history, salaries, performance evaluations, qualifications and training and leave taken and accumulated;"
4416,Personnel clerks,0.615,Medium,Initiating records for newly appointed workers and checking records for completeness;
4416,Personnel clerks,0.4425,Low,Processing applications for employment and promotions and advising applicants of results;
4416,Personnel clerks,0.525,Medium,Receiving and answering inquiries about employment entitlements and conditions;
4416,Personnel clerks,0.6825,Medium,Sending out job applications and announcements of job openings and job examinations;
4416,Personnel clerks,0.66,Medium,"Maintaining and updating manual and computerized filing and registration systems, and compiling and preparing reports and documents relating to personnel activities;"
4416,Personnel clerks,0.675,Medium,Storing and retrieving personnel records and files on request.
4419,Clerical support workers not elsewhere classified,0.6665,Medium,"Receiving customers' orders for classified advertising, writing and editing copy, calculating advertising rates and billing customers;"
4419,Clerical support workers not elsewhere classified,0.62,Medium,"Writing business and government correspondence such as replies to requests for information and assistance, damage claims, credit and billing enquiries and service complaints;"
4419,Clerical support workers not elsewhere classified,0.61,Medium,"Assisting in the preparation of periodicals, advertisements, catalogues, directories and other material for publication;"
4419,Clerical support workers not elsewhere classified,0.615,Medium,"Reading newspapers, magazines, press releases and other publications to locate and file articles of interest to staff and clients."
5111,Travel attendants and travel stewards,0.265,Low,"Greeting passengers entering aircraft or ships, checking tickets or boarding passes, and directing them to their seats or berths;"
5111,Travel attendants and travel stewards,0.225,Very Low,"Announcing, explaining and demonstrating safety and emergency procedures, such as the use of oxygen masks, seat belts, and life jackets;"
5111,Travel attendants and travel stewards,0.165,Very Low,Assembling and serving pre-prepared meals and  beverages;
5111,Travel attendants and travel stewards,0.3875,Low,Selling duty-free and other goods;
5111,Travel attendants and travel stewards,0.15,Very Low,"Taking care of general needs and comfort of passengers, answering inquiries, and keeping cabins clean and tidy;"
5111,Travel attendants and travel stewards,0.2175,Very Low,"Directing and assisting passengers and following prescribed procedures in the event of an emergency, such as evacuating an aircraft following an emergency landing;"
5111,Travel attendants and travel stewards,0.09,Very Low,Verifying that first aid kits and other emergency equipment are in working order;
5111,Travel attendants and travel stewards,0.085,Very Low,Administering first aid to passengers in distress;
5111,Travel attendants and travel stewards,0.405,Low,"Attending pre-flight briefings concerning weather, altitudes, routes, emergency procedures, crew coordination, lengths of flights, food and beverage services offered, and numbers of passengers;"
5111,Travel attendants and travel stewards,0.2,Very Low,Preparing passengers and aircraft for take-off and landing;
5111,Travel attendants and travel stewards,0.1775,Very Low,"Determining special assistance needs of passengers such as small children, the elderly, or disabled persons."
5112,Transport conductors,0.4625,Low,"Collecting and issuing tickets, passes or fares, and checking the validity of tickets issued previously;"
5112,Transport conductors,0.175,Very Low,Attending to sleeping-cars and their occupants on passenger trains;
5112,Transport conductors,0.135,Very Low,"Providing assistance with boarding, seating and luggage as required, especially to elderly, sick, or injured people;"
5112,Transport conductors,0.0925,Very Low,Opening and closing doors for passengers;
5112,Transport conductors,0.2,Very Low,Performing equipment safety checks prior to departure;
5112,Transport conductors,0.175,Very Low,Signalling to drivers to stop or proceed;
5112,Transport conductors,0.29,Low,"Greeting passengers boarding transportation equipment, and announcing routes and stops."
5112,Transport conductors,0.23,Very Low,Ensuring that safety regulations are respected;
5112,Transport conductors,0.615,Medium,Responding to passengers requests and complaints and providing information about stops and connections;
5112,Transport conductors,0.1175,Very Low,Taking appropriate action in case of emergencies or accidents.
5113,Travel guides,0.29,Low,Escorting and guiding tourists on cruises and sightseeing tours;
5113,Travel guides,0.305,Low,"Escorting visitors through places of interest such as museums, exhibitions, theme parks, factories and other industrial establishments;"
5113,Travel guides,0.485,Low,Describing and providing information on points of interest and exhibits and responding to questions;
5113,Travel guides,0.26,Low,Conducting educational activities for school children;
5113,Travel guides,0.285,Low,Monitoring visitors' activities to ensure compliance with establishment or tour regulations and safety practices;
5113,Travel guides,0.435,Low,"Greeting and registering visitors and tour participants, and issuing any required identification badges or safety devices;"
5113,Travel guides,0.305,Low,"Distributing brochures, showing audiovisual presentations, and explaining procedures and operations at tour sites;"
5113,Travel guides,0.12,Very Low,"Providing for physical safety of groups, and performing activities such as providing first aid and directing emergency evacuations;"
5113,Travel guides,0.385,Low,"Resolving any problems with tour itineraries, service, or accommodation."
5120,Cooks,0.1875,Very Low,"Planning meals, preparing and cooking foodstuffs;"
5120,Cooks,0.2875,Low,"Planning, supervising and coordinating the work of kitchen helpers;"
5120,Cooks,0.1725,Very Low,Checking the quality of food;
5120,Cooks,0.135,Very Low,"Weighing, measuring and mixing ingredients according to recipes and personal judgement;"
5120,Cooks,0.25,Low,"Regulating the temperature of ovens, grills, roasters and other cooking equipment"
5120,Cooks,0.154,Very Low,"Inspecting and cleaning the kitchen, kitchen equipment and serving areas, to ensure safe and sanitary food handling practices;"
5120,Cooks,0.1015,Very Low,"Operating large-volume cooking equipment such as grills, deep-fat fryers or griddles."
5131,Waiters,0.135,Very Low,"Setting tables with clean linen, cutlery, crockery and glassware;"
5131,Waiters,0.33,Low,Greeting customers and presenting them with menus and beverage lists;
5131,Waiters,0.33,Low,Advising on food and beverage choices;
5131,Waiters,0.405,Low,Taking orders for food and drinks and passing order to kitchen or bar staff;
5131,Waiters,0.17,Very Low,Serving food and beverages to clients at tables;
5131,Waiters,0.08,Very Low,Clearing tables and returning dishes and cutlery to kitchen;
5131,Waiters,0.515,Medium,"Presenting bills, accepting payment and operating point of sales machines and cash registers."
5132,Bartenders,0.465,Low,Taking beverage orders from serving staff or directly from patrons;
5132,Bartenders,0.265,Low,Preparing and serving alcoholic and non-alcoholic drinks at a bar;
5132,Bartenders,0.1225,Very Low,"Washing used glassware, cleaning and maintaining bar service areas, tea and coffee-making areas and equipment such as espresso machines;"
5132,Bartenders,0.4125,Low,"Collecting payment for sales, operating cash registers and balancing cash receipts;"
5132,Bartenders,0.1025,Very Low,Tapping kegs and attaching supply lines;
5132,Bartenders,0.24,Very Low,Assisting in keeping bar properly stocked and arranging bottles and glasses;
5132,Bartenders,0.3675,Low,Checking identification of customers to verify age requirements for purchase of alcohol;
5132,Bartenders,0.24,Very Low,"Taking steps to limit problems related to excessive drinking such, as persuading customers to stop drinking, declining further service and ordering transportation;"
5132,Bartenders,0.16,Very Low,Mixing ingredients to prepare cocktails and other drinks;
5132,Bartenders,0.235,Very Low,Serving snacks or other food items to customers at the bar.
5141,Hairdressers,0.0825,Very Low,"Cutting, washing, tinting and waving hair;"
5141,Hairdressers,0.0675,Very Low,Shaving or trimming beards and moustaches;
5141,Hairdressers,0.0675,Very Low,Giving scalp treatment;
5141,Hairdressers,0.12,Very Low,Fitting wigs according to customers’ requirements;
5141,Hairdressers,0.22,Very Low,"Providing advice on hair care, beauty products and hairstyles;"
5141,Hairdressers,0.1125,Very Low,Styling hair into dreadlocks and braids and adding hair extensions;
5141,Hairdressers,0.6,Medium,Arranging appointments and collecting payments;
5141,Hairdressers,0.115,Very Low,Cleaning work areas and sanitizing instruments.
5142,Beauticians and related workers,0.09,Very Low,"Cleaning and applying creams, lotions and related products to face and other parts of the body;"
5142,Beauticians and related workers,0.075,Very Low,Giving facial and body massage;
5142,Beauticians and related workers,0.105,Very Low,Applying make-up to clients of a beauty parlour or to actors and other performers;
5142,Beauticians and related workers,0.0775,Very Low,"Cleaning, shaping and polishing finger- and toe-nails and treating ailments of the human foot such as corns, calluses or deformed toe-nails;"
5142,Beauticians and related workers,0.0825,Very Low,Attending to clients taking baths and administering elementary massage;
5142,Beauticians and related workers,0.07,Very Low,"Using waxing, sugaring and depilation techniques to remove unwanted bodily hair;"
5142,Beauticians and related workers,0.4275,Low,Advising clients on diet and exercise to assist in weight loss and slimming;
5142,Beauticians and related workers,0.5375,Medium,Arranging appointments and collecting payments.
5151,"Cleaning and housekeeping supervisors in offices, hotels and other establishments",0.2425,Very Low,"Engaging, training, discharging, organizing and supervising helpers, cleaners and other housekeeping staff;"
5151,"Cleaning and housekeeping supervisors in offices, hotels and other establishments",0.36,Low,Purchasing or controlling the purchase of supplies;
5151,"Cleaning and housekeeping supervisors in offices, hotels and other establishments",0.3575,Low,Controlling storage and issue of supplies;
5151,"Cleaning and housekeeping supervisors in offices, hotels and other establishments",0.251,Low,Supervising general welfare and conduct of individuals in institutions;
5151,"Cleaning and housekeeping supervisors in offices, hotels and other establishments",0.1,Very Low,"Sweeping or vacuum-cleaning, washing and polishing floors, furniture and other fixtures;"
5151,"Cleaning and housekeeping supervisors in offices, hotels and other establishments",0.135,Very Low,"Making beds, cleaning bathrooms and supplying towels, soap and related items;"
5151,"Cleaning and housekeeping supervisors in offices, hotels and other establishments",0.13,Very Low,"Cleaning kitchens and generally helping with kitchen work, including dishwashing;"
5151,"Cleaning and housekeeping supervisors in offices, hotels and other establishments",0.185,Very Low,Restocking mini-bars and replenishing items such as drinking glasses and writing equipment.
5152,Domestic housekeepers,0.27,Low,Supervising workers employed in households as domestic staff;
5152,Domestic housekeepers,0.3725,Low,Purchasing or controlling the purchase of supplies;
5152,Domestic housekeepers,0.285,Low,Controlling storage and issue of supplies;
5152,Domestic housekeepers,0.095,Very Low,"Assisting in cases of minor injury or illness by performing tasks such as taking temperature, giving medicine, putting on bandages;"
5152,Domestic housekeepers,0.0925,Very Low,"Sweeping or vacuum-cleaning, washing and polishing floors, furniture and other fixtures."
5152,Domestic housekeepers,0.1375,Very Low,"Making beds, cleaning bathrooms, supplying towels, soap and related items;"
5152,Domestic housekeepers,0.285,Low,"Taking care of household pets and plants, receiving visitors, answering telephones, delivering messages and shopping for groceries;"
5152,Domestic housekeepers,0.1375,Very Low,"Preparing and cooking meals, setting and clearing tables and serving food and beverages."
5152,Domestic housekeepers,0.12,Very Low,"Cleaning kitchens and generally helping with kitchen work, including dishwashing."
5153,Building caretakers,0.2175,Very Low,"Supervising the work of cleaning, housekeeping and building maintenance staff and contractors;"
5153,Building caretakers,0.0925,Very Low,"Participating in cleaning, simple repairs and maintenance of building interiors;"
5153,Building caretakers,0.2,Very Low,Tending furnaces and boilers to ensure provision of heat and hot water;
5153,Building caretakers,0.195,Very Low,Regulating conduct of tenants and visitors in such matters as noise abatement or misuse of property;
5153,Building caretakers,0.405,Low,Providing small services to absent tenants such as accepting deliveries on their behalf or providing requested information to callers;
5153,Building caretakers,0.29,Low,Notifying management and owners of buildings of the need for major repairs;
5153,Building caretakers,0.155,Very Low,Patrolling buildings to ensure security is maintained;
5153,Building caretakers,0.575,Medium,Filling out registration forms and providing tenants with copies of rules.
5161,"Astrologers, fortune-tellers and related workers",0.235,Very Low,Casting horoscopes of individuals at birth or later to recount past and forecast future events and conditions of their lives;
5161,"Astrologers, fortune-tellers and related workers",0.15,Very Low,"Interpreting characteristics of clients’ palms, samples of playing cards, position of tea leaves or coffee remnants in a cup, shapes and patterns of bones of dead animals, etc.;"
5161,"Astrologers, fortune-tellers and related workers",0.585,Medium,Forecasting future events on the basis of these interpretations;
5161,"Astrologers, fortune-tellers and related workers",0.25,Low,"Determining auspicious times for various human activities such as inaugurations, marriages, journeys and religious and other ceremonies;"
5161,"Astrologers, fortune-tellers and related workers",0.385,Low,Giving warnings and advice on possible courses of action;
5161,"Astrologers, fortune-tellers and related workers",0.175,Very Low,Advising individuals on precautions to be taken to avoid evil influences.
5162,Companions and valets,0.1725,Very Low,"Providing companionship to employer by accompanying him/her to various places, reading, conversing and participating in activities such as sports;"
5162,Companions and valets,0.265,Low,Assisting in entertaining visitors in employer's home;
5162,Companions and valets,0.216,Very Low,Keeping wardrobe and personal effects of the employer in good order.
5163,Undertakers and embalmers,0.3305,Low,"Making arrangements for, and conducting, funerals, cremations and burials;"
5163,Undertakers and embalmers,0.055,Very Low,Embalming human bodies to retard or arrest the process of decay;
5163,Undertakers and embalmers,0.05,Very Low,Conforming to health and sanitation and ensuring that legal requirements concerning embalming are met;
5163,Undertakers and embalmers,0.0635,Very Low,Incising and closing incisions on various parts of the body and reshaping or reconstructing disfigured or maimed bodies when necessary;
5163,Undertakers and embalmers,0.0575,Very Low,Dressing bodies and placing them in caskets;
5163,Undertakers and embalmers,0.4425,Low,"Conducting interviews to arrange for preparation of obituary notices, to assist with the selection of caskets or urns, and to determine the location and time of burials or cremations."
5164,Pet groomers and animal care workers,0.114,Very Low,Bathing and feeding animals;
5164,Pet groomers and animal care workers,0.145,Very Low,Leading or carrying animals to treatment room and holding them during treatment;
5164,Pet groomers and animal care workers,0.1,Very Low,Cleaning and sterilising veterinary surgical instruments;
5164,Pet groomers and animal care workers,0.2525,Low,"Labelling drugs, chemicals and other pharmaceutical preparations and replenishing stock;"
5164,Pet groomers and animal care workers,0.165,Very Low,"Sterilising bottles, beakers and other equipment;"
5164,Pet groomers and animal care workers,0.0775,Very Low,"Cleaning, organizing, and disinfecting animal quarters such as pens, stables, cages and yards, and animal equipment such as saddles and bridles;"
5164,Pet groomers and animal care workers,0.165,Very Low,"Collecting and recording animal information such as weight, size, physical condition, treatments received, medications given and food intake;"
5164,Pet groomers and animal care workers,0.17,Very Low,"Training animals to develop and maintain desired behaviours for competition, entertainment, obedience, security, riding and other activities;"
5164,Pet groomers and animal care workers,0.0775,Very Low,"Grooming animals by performing tasks such as washing, brushing, clipping, and trimming coats, cutting nails and cleaning ears."
5165,Driving instructors,0.17,Very Low,"Instructing students under actual driving conditions, and explaining and demonstrating the operation of brakes, clutch, gear selection, automatic transmission, signals and lights;"
5165,Driving instructors,0.235,Very Low,Teaching road traffic regulations;
5165,Driving instructors,0.245,Very Low,Teaching road craft and road safety;
5165,Driving instructors,0.215,Very Low,Advising students when they are ready to undergo driving examination;
5165,Driving instructors,0.205,Very Low,Advising on and teaching advanced driving techniques required for emergency situations;
5165,Driving instructors,0.16,Very Low,Illustrating and explaining handling and mechanical operation of motor vehicles and driving techniques using blackboard diagrams and audiovisual aids.
5169,Personal services workers not elsewhere classified,0.245,Very Low,Accompanying clients to restaurants and other outings;
5169,Personal services workers not elsewhere classified,0.13,Very Low,Acting as a dancing partner;
5169,Personal services workers not elsewhere classified,0.265,Low,Welcoming clients to a night-club and ensuring that they are entertained well.
5211,Stall and market salespersons,0.2125,Very Low,"Obtaining permission to set up a stand at a particular place in streets, markets or other open spaces;"
5211,Stall and market salespersons,0.45,Low,"Determining product mix, stock and price levels for goods to be sold;"
5211,Stall and market salespersons,0.425,Low,Buying or contracting a regular supply of goods to be sold from wholesale suppliers or directly from producers;
5211,Stall and market salespersons,0.165,Very Low,"Erecting and dismantling stalls and stands, and transporting, storing, loading and unloading goods for sale;"
5211,Stall and market salespersons,0.43,Low,Demonstrating and selling goods and accepting payment;
5211,Stall and market salespersons,0.165,Very Low,"Stacking and displaying goods for sale, and wrapping and packing goods sold;"
5211,Stall and market salespersons,0.6,Medium,Keeping accounts and maintaining a record of stock levels.
5212,Street food salespersons,0.305,Low,"Obtaining permission or a licence, where required, to sell food and drinks on the street or in a public place;"
5212,Street food salespersons,0.1425,Very Low,Obtaining food and drinks for sale;
5212,Street food salespersons,0.215,Very Low,"Preparing, either beforehand or on the spot, food and drinks for sale;"
5212,Street food salespersons,0.0975,Very Low,"Loading and unloading, pushing, pedalling or carrying handcarts, trucks, trays or baskets to bring food and drinks to the desired place in the street, or to public places such as stations or cinemas;"
5212,Street food salespersons,0.3625,Low,Displaying and selling food and drinks and accepting payment.
5221,Shop keepers,0.45,Low,"Determining product mix, stock and price levels for goods to be sold;"
5221,Shop keepers,0.49,Low,"Purchasing and ordering goods for sale from markets, wholesalers and other suppliers;"
5221,Shop keepers,0.59,Medium,Budgeting and maintaining records of stock levels and financial transactions;
5221,Shop keepers,0.39,Low,Determining prices and displaying goods for sale;
5221,Shop keepers,0.4525,Low,Selling goods to customers and advising them on product use;
5221,Shop keepers,0.29,Low,Examining returned goods and deciding on appropriate action;
5221,Shop keepers,0.3525,Low,Taking inventory of goods in stock.
5222,Shop supervisors,0.525,Medium,Planning and preparing work schedules and assigning staff to specific duties;
5222,Shop supervisors,0.365,Low,"Instructing staff on sales procedures, including how to handle difficult or complex cases;"
5222,Shop supervisors,0.515,Medium,Ensuring that customers receive prompt service;
5222,Shop supervisors,0.3075,Low,"Participating in and providing advice to managers on interviewing, hiring, training, evaluating, promoting and dismissing staff, and resolving staff grievances;"
5222,Shop supervisors,0.27,Low,Examining returned goods and deciding on appropriate action;
5222,Shop supervisors,0.33,Low,Taking inventory of goods for sale and ordering new stock;
5222,Shop supervisors,0.4125,Low,Ensuring that goods and services are correctly priced and displayed;
5222,Shop supervisors,0.1575,Very Low,Ensuring that safety procedures are enforced.
5223,Shop sales assistants,0.47,Low,"Determining customer requirements and advising on product range, price, delivery, warranties and product use and care;"
5223,Shop sales assistants,0.45,Low,Demonstrating and explaining to customers the establishment's goods and services;
5223,Shop sales assistants,0.55,Medium,"Selling goods and services, accepting payment by a variety of payment methods, preparing sales invoices and recording sales using cash registers;"
5223,Shop sales assistants,0.295,Low,Assisting with the ongoing management of stock such as product inventories and participating in stock takes;
5223,Shop sales assistants,0.1575,Very Low,"Stacking and displaying goods for sale, and wrapping and packing goods sold."
5230,Cashiers and ticket clerks,0.4125,Low,"Receiving and verifying payment by cash, cheque, credit card or automatic debit in stores, ticket offices or similar establishments;"
5230,Cashiers and ticket clerks,0.33,Low,Giving change and issuing receipts;
5230,Cashiers and ticket clerks,0.615,Medium,Issuing tickets for attendance at sporting and cultural events;
5230,Cashiers and ticket clerks,0.45,Low,Counting and recording money received or paid out and balancing against cash register sales records;
5230,Cashiers and ticket clerks,0.42,Low,"Receiving incoming cash, checking it against sales slips and other documents, and preparing it for deposit at financial institute;"
5230,Cashiers and ticket clerks,0.5,Medium,Operating cash register to calculate total to be paid from or to clients;
5230,Cashiers and ticket clerks,0.2575,Low,"Scanning, weighing and recording prices of goods;"
5230,Cashiers and ticket clerks,0.17,Very Low,Wrapping and placing merchandise in bags.
5241,Fashion and other models,0.23,Very Low,Dressing in sample apparel of new or current styles or of type wanted by customer;
5241,Fashion and other models,0.245,Very Low,"Walking, turning and posing to demonstrate, to best advantage, style and characteristics of garments, fashion accessories and other merchandise;"
5241,Fashion and other models,0.165,Very Low,"Posing as subject for sculpture, painting and other types of visual art;"
5241,Fashion and other models,0.3,Low,Posing for still photography for magazines and other advertising media;
5241,Fashion and other models,0.3,Low,"Posing for television, video and cinema commercials and other productions."
5242,Sales demonstrators,0.435,Low,"Setting up displays and demonstrating articles for sale to inform customers about their characteristics and mode of use, as well as to stimulate buying interest;"
5242,Sales demonstrators,0.42,Low,Answering questions and offering advice on the use of goods;
5242,Sales demonstrators,0.4675,Low,Selling goods or directing customers to sales staff;
5242,Sales demonstrators,0.535,Medium,"Taking orders and making arrangements for payment, delivery and collection of goods;"
5242,Sales demonstrators,0.23,Very Low,Offering sample goods and distributing catalogues and advertising material.
5243,Door to door salespersons,0.465,Low,Giving details of various goods or services and of terms of sale by visiting clients and potential clients in private homes;
5243,Door to door salespersons,0.5525,Medium,Demonstrating or describing goods or services on offer;
5243,Door to door salespersons,0.585,Medium,Recording orders and transactions and placing orders received with suppliers;
5243,Door to door salespersons,0.585,Medium,Preparing invoices and sales contracts and accepting payment;
5243,Door to door salespersons,0.25,Low,"Distributing letters, information sheets and other documents to clients;"
5243,Door to door salespersons,0.62,Medium,Compiling lists of prospective clients and calling on them to obtain new business;
5243,Door to door salespersons,0.1525,Very Low,Travelling between sales areas and clients and transporting samples or goods for sale.
5244,Contact centre salespersons,0.625,Medium,"Promoting goods and services by telephone or electronic mail, following scripts and working from lists of contacts;"
5244,Contact centre salespersons,0.55,Medium,"Creating interest in goods and services, and seeking a sale or agreement to see sales representatives;"
5244,Contact centre salespersons,0.5625,Medium,"Arranging processing and despatch of goods and services, information kits and brochures to customers;"
5244,Contact centre salespersons,0.7625,High,Arranging appointments for sales representatives;
5244,Contact centre salespersons,0.59,Medium,Recording notes for follow-up action and updating marketing databases to reflect changes to the status of each customer;
5244,Contact centre salespersons,0.4375,Low,Reporting competitor activities and issues raised by contacts for attention by managers;
5244,Contact centre salespersons,0.715,Medium,Maintaining statistics of calls made and successes achieved;
5244,Contact centre salespersons,0.65,Medium,Submitting periodic reports on telemarketing activities and results.
5245,Service station attendants,0.2175,Very Low,Filling fuel tanks and containers to level specified by customer;
5245,Service station attendants,0.1425,Very Low,"Checking and replenishing air pressure in vehicle tyres, and oil and other vehicle fluid levels;"
5245,Service station attendants,0.1,Very Low,Washing vehicle windscreens and windows;
5245,Service station attendants,0.1675,Very Low,"Performing minor repair work to vehicles such as replacing tyres, light bulbs and windscreen wiper blades;"
5245,Service station attendants,0.18,Very Low,Maintaining and operating automatic car wash facilities;
5245,Service station attendants,0.415,Low,Collecting payments from customers for purchases;
5245,Service station attendants,0.1375,Very Low,"Cleaning petrol pumps and surrounding driveway, shop and facilities;"
5245,Service station attendants,0.565,Medium,"Undertaking stock control and preparing reports on fuel, oil, accessories and other items sold."
5246,Food service counter attendants,0.29,Low,Serving food to customers at counters;
5246,Food service counter attendants,0.46,Low,"Ascertaining the products desired by the customer, assisting them in making  choices and taking orders;"
5246,Food service counter attendants,0.135,Very Low,"Cleaning, peeling, slicing and trimming foodstuffs using manual and electric appliances;"
5246,Food service counter attendants,0.135,Very Low,Preparing simple food items and reheating prepared meals;
5246,Food service counter attendants,0.14,Very Low,Portioning and wrapping food or placing it directly on plates for service to patrons;
5246,Food service counter attendants,0.165,Very Low,Packaging takeaway food;
5246,Food service counter attendants,0.165,Very Low,"Stocking refrigerators, salad, buffet bars and keeping records of the quantities of food used;"
5246,Food service counter attendants,0.415,Low,Receiving payment for food items purchased.
5311,Child care workers,0.12,Very Low,"Assisting children to wash, dress and feed themselves;"
5311,Child care workers,0.1625,Very Low,Taking children to and from school or outdoors for recreation;
5311,Child care workers,0.18,Very Low,"Playing games with children, or entertaining them by reading or storytelling;"
5311,Child care workers,0.245,Very Low,Assisting in the preparation of materials and equipment for children's education and recreational activities;
5311,Child care workers,0.139,Very Low,Managing children's behaviour and guiding their social development;
5311,Child care workers,0.1425,Very Low,"Disciplining children and recommending or initiating other measures to control behaviour, such as caring for own clothing and picking up toys and books;"
5311,Child care workers,0.135,Very Low,Observing and monitoring children's play activities;
5311,Child care workers,0.4,Low,"Keeping records on individual children, including daily observations and information about activities, meals served, and medications administered."
5312,Teachers' aides,0.18,Very Low,"Demonstrating, supervising and participating in activities that enhance the physical, social, emotional and intellectual development of children in schools and pre-schools;"
5312,Teachers' aides,0.165,Very Low,Preparing indoor and outdoor areas for learning and recreational activities;
5312,Teachers' aides,0.15,Very Low,"Assisting children with intellectual, physical, behavioural and other learning difficulties with their studies;"
5312,Teachers' aides,0.1425,Very Low,Assisting children individually to learn social skills;
5312,Teachers' aides,0.535,Medium,"Assisting with preparing teaching materials, and copying and collating written and printed material;"
5312,Teachers' aides,0.315,Low,"Operating audio-visual equipment, computers and other teaching aides;"
5312,Teachers' aides,0.2,Very Low,Distributing and collecting lesson material.
5321,Health care assistants,0.1725,Very Low,"Providing care, support and treatment to patients and residents of medical, rehabilitative and residential care facilities according to treatment plans established by medical, nursing and other health professionals;"
5321,Health care assistants,0.12,Very Low,"Assisting patients with personal and therapeutic care needs such as personal hygiene, feeding, dressing, physical mobility and exercise, communication, taking oral medications and changing dressings;"
5321,Health care assistants,0.095,Very Low,"Positioning, lifting and turning patients and transporting them in wheelchairs or on movable beds;"
5321,Health care assistants,0.1025,Very Low,"Maintaining patients' environmental hygiene standards, such as cleaning patient rooms and changing bed linen;"
5321,Health care assistants,0.115,Very Low,"Providing massage and other non-pharmacological pain relief measures, such as during pregnancy and labour;"
5321,Health care assistants,0.24,Very Low,"Observing patients’ condition, responses and behaviour and reporting changes to a health professional."
5322,Home-based personal care workers,0.101,Very Low,"Assisting clients with personal and therapeutic care needs such as personal hygiene, feeding, dressing, physical mobility and exercise, communication, taking oral medications and changing dressings, usually as per care plans established by a health professional"
5322,Home-based personal care workers,0.465,Low,"Maintaining records of client care, changes in condition and responses to care and treatment, and reporting concerns or providing referrals to a health or social services professional;"
5322,Home-based personal care workers,0.075,Very Low,"Positioning and lifting clients with physical mobility challenges, and helping transport them in wheelchairs and motor vehicles;"
5322,Home-based personal care workers,0.255,Low,"Providing clients and families with emotional support and information and advice on topics such as nutrition, hygiene, exercise, caring for infants or adapting to disability or illness;"
5322,Home-based personal care workers,0.105,Very Low,"Maintaining clients' environmental hygiene standards, such as changing bed linen, washing clothes and dishes, and cleaning living quarters;"
5322,Home-based personal care workers,0.265,Low,Providing psychological support to clients such as through conversation or reading aloud;
5322,Home-based personal care workers,0.2075,Very Low,"Planning, purchasing, preparing, or serving meals to meet nutritional requirements and prescribed diets;"
5322,Home-based personal care workers,0.145,Very Low,Providing support to parents and care for newborns during the postpartum period
5322,Home-based personal care workers,0.6,Medium,Scheduling and accompanying clients for appointments with medical doctors and other health professionals or performing other errands.
5329,Personal care workers in health services not elsewhere classified,0.125,Very Low,"Cleaning and sterilizing surgical, dental and pharmaceutical instruments, bottles, beakers and other equipment;"
5329,Personal care workers in health services not elsewhere classified,0.2125,Very Low,"Labelling drugs, chemicals and other pharmaceutical preparations and replenishing stock on shelves;"
5329,Personal care workers in health services not elsewhere classified,0.14,Very Low,"Lifting, turning and moving patients and transporting them in wheelchairs or on moveable beds;"
5329,Personal care workers in health services not elsewhere classified,0.145,Very Low,Preparing patients for examination or treatment;
5329,Personal care workers in health services not elsewhere classified,0.135,Very Low,"Setting  up instrument trays, preparing materials, and assisting dentists or radiographers during procedures;"
5329,Personal care workers in health services not elsewhere classified,0.145,Very Low,Exposing diagnostic X-rays.
5411,Fire-fighters,0.15,Very Low,"Responding to fire alarms and other calls for assistance, such as automobile and industrial accidents, bomb threats and other emergencies;"
5411,Fire-fighters,0.1375,Very Low,Controlling and extinguishing fires using manual and power equipment and fire-fighting chemicals;
5411,Fire-fighters,0.135,Very Low,Fighting special types of fires and using special equipment in industrial establishments;
5411,Fire-fighters,0.085,Very Low,Rescuing people from burning buildings and accident sites and those trapped in dangerous situations;
5411,Fire-fighters,0.2325,Very Low,Preventing or limiting the spread of dangerous substances in case of fires or accidents;
5411,Fire-fighters,0.36,Low,Informing the public about fire prevention.
5412,Police officers,0.12,Very Low,"Patrolling a specific area to maintain public order, responding to emergencies, protecting people and property and enforcing laws and regulations;"
5412,Police officers,0.1225,Very Low,"Identifying, pursuing and arresting suspects and perpetrators of criminal acts;"
5412,Police officers,0.19,Very Low,Directing traffic and assuming authority in the event of accidents;
5412,Police officers,0.125,Very Low,"Providing emergency assistance to victims of accidents, crimes and natural disasters."
5413,Prison guards,0.1125,Very Low,"Searching arriving prisoners, putting their valuables in safekeeping, escorting prisoners to cells and locking them in;"
5413,Prison guards,0.15,Very Low,"Making periodic inspection tours of cells and inspecting and maintaining the security of locks, windows, doors and gates;"
5413,Prison guards,0.165,Very Low,"Supervising prisoners at work and meals, and during recreation periods;"
5413,Prison guards,0.1075,Very Low,Observing the conduct and behaviour of prisoners to prevent disturbances and escapes;
5413,Prison guards,0.0975,Very Low,Patrolling prison areas to prevent escapes;
5413,Prison guards,0.215,Very Low,Assisting with the implementation of rehabilitation programmes;
5413,Prison guards,0.115,Very Low,Escorting prisoners in transit and during temporary leave.
5414,Security guards,0.16,Very Low,"Patrolling premises and checking doors, windows and gates to prevent and detect signs of unauthorised entry;"
5414,Security guards,0.365,Low,"Controlling access to establishments, monitoring and authorizing the entrance or departure of employees and visitors, checking identification and issuing security passes;"
5414,Security guards,0.13,Very Low,"Circulating among visitors, patrons, or employees to preserve order, protect property from theft or vandalism and enforce the regulations of the establishment;"
5414,Security guards,0.235,Very Low,"Responding to alarms, investigating disturbances and contacting superiors, police or fire fighters as appropriate;"
